"start","end","latitude","longitude","type","rfmos.0","rfmos.1","rfmos.2","rfmos.3","eezs.0","vessel.name","vessel.flag","vessel.ssvid","loitering.totalTimeHours","loitering.totalDistanceKilometers","loitering.medianSpeedKnots","eezs.1"
"2020-12-25T09:39:56.000Z","2020-12-25T12:54:58.000Z",4.8572625,-0.60485583335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","MENG XIN YU YUN 369","CHN","412201873","3.251","7.55","1.254",
"2021-01-02T09:59:42.000Z","2021-01-02T12:59:14.000Z",1.65148,-1.17142666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN MAVERIC","BHS","311004000","2.992","4.924","0.889",
"2021-01-06T15:59:55.000Z","2021-01-06T18:59:24.000Z",3.3352925,-2.01542666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN CRYSTAL","BHS","311009700","2.991","2.148","0.388",
"2021-01-13T10:58:42.000Z","2021-01-13T22:57:24.000Z",2.66873333335,1.14657333335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO MOGAMI","PAN","357735000","11.978","18.449","0.832",
"2021-01-18T05:43:49.000Z","2021-01-18T08:55:38.000Z",3.67734666665,-2.3240733333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN EGERSUND","BHS","311040500","3.197","10.449","1.765",
"2021-01-30T11:59:28.000Z","2021-01-30T14:56:06.000Z",3.1391608333,-2.96331916665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO SEVEN","MDA","214182714","2.944","6.927","1.271",
"2021-02-07T11:56:20.000Z","2021-02-07T14:57:08.000Z",2.59401583335,0.1504683333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO SEVEN","MDA","214182714","3.013","6.626","1.187",
"2021-02-07T16:42:48.000Z","2021-02-07T17:44:04.000Z",2.58519083335,0.17647583335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO SEVEN","MDA","214182714","1.021","1.986","1.05",
"2021-02-17T07:56:48.000Z","2021-02-17T12:57:24.000Z",5.11825333335,0.47958333335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","NOVAYA ZEMLYA","DMA","325955000","5.01","9.83","1.059",
"2021-02-25T13:59:09.000Z","2021-02-25T18:42:06.000Z",2.10298166665,0.1162425,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO NEREUS","CYP","212782000","4.716","10.397","1.19",
"2021-03-05T14:59:04.000Z","2021-03-05T16:57:14.000Z",2.9414916667,-2.59728333335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO SHINANO","PAN","352349000","1.969","5.54","1.519",
"2021-03-07T22:59:42.000Z","2021-03-08T15:56:10.000Z",4.0883758333,0.92077166665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN KARMOY","BHS","311009400","16.941","32.228","1.027",
"2021-03-16T17:54:52.000Z","2021-03-17T01:59:02.000Z",3.5570766667,-1.6741383333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","FRIO NEREUS","CYP","212782000","8.069","23.016","1.54",
"2021-03-17T17:55:45.000Z","2021-03-18T02:59:02.000Z",4.3390833333,0.3465,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","INVINCIBLE","PAN","353190000","9.055","19.515","1.164",
"2021-03-17T21:59:38.000Z","2021-03-18T14:59:17.000Z",4.3750991667,0.3478483333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","SUNNY LISA","CMR","613003558","16.994","35.5","1.128",
"2021-03-20T14:55:18.000Z","2021-03-20T19:58:42.000Z",4.3566625,0.42308666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN EXPLORER","BHS","309361000","5.057","10.299","1.1",
"2021-03-20T14:59:48.000Z","2021-03-20T16:41:18.000Z",4.31601666665,0.4537583333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","ORANGE STRAIT","BES","306124000","1.692","3.326","1.062",
"2021-03-20T17:48:32.000Z","2021-03-20T19:56:53.000Z",4.26764166665,0.4366583333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","ORANGE STRAIT","BES","306124000","2.139","5.298","1.337",
"2021-03-20T21:56:38.000Z","2021-03-21T01:59:22.000Z",4.06156666665,0.47146666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","ORANGE STRAIT","BES","306124000","4.046","12.448","1.661",
"2021-03-20T22:59:40.000Z","2021-03-21T04:47:34.000Z",4.19452833335,0.4363633333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN EXPLORER","BHS","309361000","5.798","11.023","1.027",
"2021-03-21T07:57:52.000Z","2021-03-21T11:49:23.000Z",3.857595,0.5457083333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN EXPLORER","BHS","309361000","3.859","6.474","0.906",
"2021-03-26T23:56:22.000Z","2021-03-28T11:58:45.000Z",4.1016666667,-0.014,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","36.04","73.604","1.103",
"2021-03-28T13:52:10.000Z","2021-03-28T15:59:09.000Z",4.0414,0.1918975,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","2.116","3.163","0.807",
"2021-03-28T16:57:37.000Z","2021-03-29T05:52:25.000Z",4.04219166665,0.2673625,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","12.913","21.075","0.881",
"2021-03-29T06:47:28.000Z","2021-03-29T20:57:24.000Z",4.08564666665,0.38928,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","14.166","21.901","0.835",
