start,end,latitude,longitude,type,rfmos.0,rfmos.1,rfmos.2,rfmos.3,eezs.0,vessel.name,vessel.flag,vessel.ssvid,loitering.totalTimeHours,loitering.totalDistanceKilometers,loitering.medianSpeedKnots,eezs.1
2017-04-16T17:57:40.000Z,2017-04-16T21:57:31.000Z,4.764279167,-0.68491,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.998,5.317,0.718,
2017-04-20T14:33:43.000Z,2017-04-20T16:51:43.000Z,3.474545,-1.40196,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,GREEN EGERSUND,BHS,311040500,2.3,4.386,1.03,
2017-04-21T07:47:54.000Z,2017-04-21T08:56:14.000Z,4.905684167,1.3012925,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,GREEN EGERSUND,BHS,311040500,1.139,2.21,1.048,
2017-04-23T20:54:21.000Z,2017-04-23T22:07:52.000Z,4.3996425,-0.779415,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,PEARL BAY,KNA,341878000,1.225,3.34,1.472,
2017-04-24T04:33:03.000Z,2017-04-24T05:37:32.000Z,4.017575,-1.144395833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,PEARL BAY,KNA,341878000,1.075,2.675,1.344,
2017-04-24T06:40:12.000Z,2017-04-24T08:47:01.000Z,3.94407,-1.128014167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,PEARL BAY,KNA,341878000,2.114,6.191,1.582,
2017-04-25T18:56:27.000Z,2017-04-27T15:36:55.000Z,3.122515833,0.208260833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,COOL EXPRESO,NLD,244790145,44.674,98.95,1.196,
2017-04-28T17:51:05.000Z,2017-04-28T21:29:36.000Z,4.382314167,-1.7342275,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.642,5.495,0.815,
2017-05-10T09:53:07.000Z,2017-05-10T12:15:59.000Z,2.557164167,-2.275864167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,NOVA ZEELANDIA,BES,306497000,2.381,5.143,1.166,
2017-05-13T02:53:31.000Z,2017-05-13T04:56:51.000Z,4.164395833,-2.674300833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,2.056,5.89,1.547,
